id,title,main_picture/medium,main_picture/large,start_date,mean,media_type,status,genres/0/id,genres/0/name,genres/1/id,genres/1/name,genres/2/id,genres/2/name,genres/3/id,genres/3/name,num_episodes,start_season/year,start_season/season,average_episode_duration,rating,studios/0/id,studios/0/name,genres/4/id,genres/4/name,genres/5/id,genres/5/name,genres/6/id,genres/6/name,genres/7/id,genres/7/name,studios/1/id,studios/1/name,studios/2/id,studios/2/name,genres/8/id,genres/8/name,genres/9/id,genres/9/name
30654,Ansatsu Kyoushitsu 2nd Season,https://api-cdn.myanimelist.net/images/anime/8/77966.jpg,https://api-cdn.myanimelist.net/images/anime/8/77966l.jpg,2016-01-08,8.53,tv,finished_airing,1,Action,4,Comedy,23,School,27,Shounen,25,2016,winter,1380,pg_13,456,Lerche,,,,,,,,,,,,,,,,
20583,Haikyuu!!,https://api-cdn.myanimelist.net/images/anime/7/76014.jpg,https://api-cdn.myanimelist.net/images/anime/7/76014l.jpg,2014-04-06,8.52,tv,finished_airing,4,Comedy,30,Sports,8,Drama,23,School,25,2014,spring,1440,pg_13,10,Production I.G,27,Shounen,,,,,,,,,,,,,,
19647,Hajime no Ippo: Rising,https://api-cdn.myanimelist.net/images/anime/6/56147.jpg,https://api-cdn.myanimelist.net/images/anime/6/56147l.jpg,2013-10-06,8.59,tv,finished_airing,4,Comedy,30,Sports,8,Drama,27,Shounen,25,2013,fall,1320,pg_13,11,Madhouse,,,,,,,,,569,MAPPA,,,,,,
4282,Kara no Kyoukai 5: Mujun Rasen,https://api-cdn.myanimelist.net/images/anime/8/9246.jpg,https://api-cdn.myanimelist.net/images/anime/8/9246l.jpg,2008-08-16,8.56,movie,finished_airing,1,Action,7,Mystery,37,Supernatural,8,Drama,1,2008,summer,6894,r,43,ufotable,22,Romance,41,Thriller,,,,,,,,,,,,
10379,Natsume Yuujinchou San,https://api-cdn.myanimelist.net/images/anime/8/82394.jpg,https://api-cdn.myanimelist.net/images/anime/8/82394l.jpg,2011-07-05,8.59,tv,finished_airing,36,Slice of Life,6,Demons,37,Supernatural,8,Drama,13,2011,summer,1440,pg_13,112,Brain's Base,25,Shoujo,,,,,,,,,,,,,,
22135,Ping Pong the Animation,https://api-cdn.myanimelist.net/images/anime/10/58041.jpg,https://api-cdn.myanimelist.net/images/anime/10/58041l.jpg,2014-04-11,8.63,tv,finished_airing,8,Drama,40,Psychological,42,Seinen,30,Sports,11,2014,spring,1380,pg_13,103,Tatsunoko Production,,,,,,,,,,,,,,,,
21329,Mushishi: Hihamukage,https://api-cdn.myanimelist.net/images/anime/10/59315.jpg,https://api-cdn.myanimelist.net/images/anime/10/59315l.jpg,2014-01-04,8.57,special,finished_airing,2,Adventure,36,Slice of Life,7,Mystery,13,Historical,1,2014,winter,2700,pg_13,8,Artland,37,Supernatural,10,Fantasy,42,Seinen,,,,,,,,,,
31043,Boku dake ga Inai Machi,https://api-cdn.myanimelist.net/images/anime/10/77957.jpg,https://api-cdn.myanimelist.net/images/anime/10/77957l.jpg,2016-01-08,8.36,tv,finished_airing,7,Mystery,40,Psychological,37,Supernatural,42,Seinen,12,2016,winter,1380,r,56,A-1 Pictures,,,,,,,,,,,,,,,,
7785,Yojouhan Shinwa Taikei,https://api-cdn.myanimelist.net/images/anime/10/50457.jpg,https://api-cdn.myanimelist.net/images/anime/10/50457l.jpg,2010-04-23,8.6,tv,finished_airing,7,Mystery,4,Comedy,40,Psychological,22,Romance,11,2010,spring,1380,r,11,Madhouse,,,,,,,,,,,,,,,,
3297,Aria the Origination,https://api-cdn.myanimelist.net/images/anime/6/77623.jpg,https://api-cdn.myanimelist.net/images/anime/6/77623l.jpg,2008-01-08,8.53,tv,finished_airing,24,Sci-Fi,36,Slice of Life,10,Fantasy,27,Shounen,13,2008,winter,1460,g,34,Hal Film Maker,,,,,,,,,,,,,,,,
30709,Kamisama Hajimemashita: Kako-hen,https://api-cdn.myanimelist.net/images/anime/3/81250.jpg,https://api-cdn.myanimelist.net/images/anime/3/81250l.jpg,2015-08-20,8.37,ova,finished_airing,4,Comedy,6,Demons,37,Supernatural,22,Romance,4,2015,summer,1800,pg_13,73,TMS Entertainment,10,Fantasy,25,Shoujo,,,,,,,,,,,,
6114,Rainbow: Nisha Rokubou no Shichinin,https://api-cdn.myanimelist.net/images/anime/9/72697.jpg,https://api-cdn.myanimelist.net/images/anime/9/72697l.jpg,2010-04-07,8.51,tv,finished_airing,8,Drama,13,Historical,42,Seinen,41,Thriller,26,2010,spring,1360,r,11,Madhouse,,,,,,,,,,,,,,,,
31240,Re:Zero kara Hajimeru Isekai Seikatsu,https://api-cdn.myanimelist.net/images/anime/11/79410.jpg,https://api-cdn.myanimelist.net/images/anime/11/79410l.jpg,2016-04-04,8.28,tv,finished_airing,40,Psychological,8,Drama,41,Thriller,10,Fantasy,25,2016,spring,1530,r,314,White Fox,,,,,,,,,,,,,,,,
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://api-cdn.myanimelist.net/images/anime/12/19698.jpg,https://api-cdn.myanimelist.net/images/anime/12/19698l.jpg,2009-04-22,8.57,movie,finished_airing,1,Action,18,Mecha,24,Sci-Fi,29,Space,1,2009,spring,7553,r+,6,Gainax,31,Super Power,,,,,,,,,,,,,,
5300,Zoku Natsume Yuujinchou,https://api-cdn.myanimelist.net/images/anime/4/79738.jpg,https://api-cdn.myanimelist.net/images/anime/4/79738l.jpg,2009-01-06,8.57,tv,finished_airing,36,Slice of Life,6,Demons,37,Supernatural,8,Drama,13,2009,winter,1449,pg_13,112,Brain's Base,25,Shoujo,,,,,,,,,,,,,,
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://api-cdn.myanimelist.net/images/anime/5/79697.jpg,https://api-cdn.myanimelist.net/images/anime/5/79697l.jpg,2011-04-15,8.41,tv,finished_airing,36,Slice of Life,37,Supernatural,8,Drama,,,11,2011,spring,1370,pg_13,56,A-1 Pictures,,,,,,,,,,,,,,,,
24415,Kuroko no Basket 3rd Season,https://api-cdn.myanimelist.net/images/anime/4/68299.jpg,https://api-cdn.myanimelist.net/images/anime/4/68299l.jpg,2015-01-11,8.33,tv,finished_airing,4,Comedy,30,Sports,23,School,27,Shounen,25,2015,winter,1450,pg_13,10,Production I.G,,,,,,,,,,,,,,,,
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://api-cdn.myanimelist.net/images/anime/3/50317.jpg,https://api-cdn.myanimelist.net/images/anime/3/50317l.jpg,2013-04-20,8.49,movie,finished_airing,24,Sci-Fi,8,Drama,,,,,1,2013,spring,5400,pg_13,314,White Fox,,,,,,,,,,,,,,,,
10408,Hotarubi no Mori e,https://api-cdn.myanimelist.net/images/anime/8/38229.jpg,https://api-cdn.myanimelist.net/images/anime/8/38229l.jpg,2011-09-17,8.37,movie,finished_airing,8,Drama,22,Romance,25,Shoujo,37,Supernatural,1,2011,summer,2700,g,112,Brain's Base,,,,,,,,,,,,,,,,
28171,Shokugeki no Souma,https://api-cdn.myanimelist.net/images/anime/3/72943.jpg,https://api-cdn.myanimelist.net/images/anime/3/72943l.jpg,2015-04-04,8.28,tv,finished_airing,9,Ecchi,23,School,27,Shounen,,,24,2015,spring,1500,pg_13,7,J.C.Staff,,,,,,,,,,,,,,,,
32995,Yuri!!! on Ice,https://api-cdn.myanimelist.net/images/anime/6/81149.jpg,https://api-cdn.myanimelist.net/images/anime/6/81149l.jpg,2016-10-06,7.91,tv,finished_airing,4,Comedy,30,Sports,,,,,12,2016,fall,1405,pg_13,569,MAPPA,,,,,,,,,,,,,,,,
21899,Gintama: Yorinuki Gintama-san on Theater 2D,https://api-cdn.myanimelist.net/images/anime/1172/90571.jpg,https://api-cdn.myanimelist.net/images/anime/1172/90571l.jpg,2012-08-26,8.44,movie,finished_airing,1,Action,24,Sci-Fi,4,Comedy,13,Historical,2,2012,summer,5766,pg_13,14,Sunrise,20,Parody,21,Samurai,27,Shounen,,,,,,,,,,
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,https://api-cdn.myanimelist.net/images/anime/11/75045.jpg,https://api-cdn.myanimelist.net/images/anime/11/75045l.jpg,2015-01-10,8.44,tv,finished_airing,1,Action,2,Adventure,37,Supernatural,8,Drama,24,2015,winter,1400,r,287,David Production,27,Shounen,,,,,,,,,,,,,,
7472,Gintama Movie 1: Shinyaku Benizakura-hen,https://api-cdn.myanimelist.net/images/anime/4/28803.jpg,https://api-cdn.myanimelist.net/images/anime/4/28803l.jpg,2010-04-24,8.52,movie,finished_airing,1,Action,24,Sci-Fi,4,Comedy,13,Historical,1,2010,spring,5700,r,14,Sunrise,20,Parody,21,Samurai,27,Shounen,,,,,,,,,,
777,Hellsing Ultimate,https://api-cdn.myanimelist.net/images/anime/6/7333.jpg,https://api-cdn.myanimelist.net/images/anime/6/7333l.jpg,2006-02-10,8.39,ova,finished_airing,1,Action,38,Military,14,Horror,37,Supernatural,10,2006,winter,3000,r,11,Madhouse,32,Vampire,42,Seinen,,,,,41,Satelight,894,Graphinica,,,,
22535,Kiseijuu: Sei no Kakuritsu,https://api-cdn.myanimelist.net/images/anime/3/73178.jpg,https://api-cdn.myanimelist.net/images/anime/3/73178l.jpg,2014-10-09,8.39,tv,finished_airing,1,Action,24,Sci-Fi,14,Horror,40,Psychological,24,2014,fall,1380,r,11,Madhouse,8,Drama,42,Seinen,,,,,,,,,,,,
28735,Shouwa Genroku Rakugo Shinjuu,https://api-cdn.myanimelist.net/images/anime/2/77907.jpg,https://api-cdn.myanimelist.net/images/anime/2/77907l.jpg,2016-01-09,8.6,tv,finished_airing,8,Drama,13,Historical,43,Josei,,,13,2016,winter,1560,pg_13,37,Studio Deen,,,,,,,,,,,,,,,,
12431,Uchuu Kyoudai,https://api-cdn.myanimelist.net/images/anime/7/37573.jpg,https://api-cdn.myanimelist.net/images/anime/7/37573l.jpg,2012-04-01,8.52,tv,finished_airing,4,Comedy,24,Sci-Fi,42,Seinen,36,Slice of Life,99,2012,spring,1450,pg_13,56,A-1 Pictures,29,Space,,,,,,,,,,,,,,
28805,Bakemono no Ko,https://api-cdn.myanimelist.net/images/anime/11/73540.jpg,https://api-cdn.myanimelist.net/images/anime/11/73540l.jpg,2015-07-11,8.32,movie,finished_airing,2,Adventure,37,Supernatural,,,,,1,2015,summer,7140,pg_13,555,Studio Chizu,,,,,,,,,,,,,,,,
578,Hotaru no Haka,https://api-cdn.myanimelist.net/images/anime/7/75808.jpg,https://api-cdn.myanimelist.net/images/anime/7/75808l.jpg,1988-04-16,8.51,movie,finished_airing,8,Drama,13,Historical,,,,,1,1988,spring,5280,pg_13,21,Studio Ghibli,,,,,,,,,,,,,,,,
16894,Kuroko no Basket 2nd Season,https://api-cdn.myanimelist.net/images/anime/9/56155.jpg,https://api-cdn.myanimelist.net/images/anime/9/56155l.jpg,2013-10-06,8.27,tv,finished_airing,4,Comedy,30,Sports,23,School,27,Shounen,25,2013,fall,1440,pg_13,10,Production I.G,,,,,,,,,,,,,,,,
5028,Major S5,https://api-cdn.myanimelist.net/images/anime/9/75218.jpg,https://api-cdn.myanimelist.net/images/anime/9/75218l.jpg,2009-01-10,8.45,tv,finished_airing,4,Comedy,8,Drama,22,Romance,27,Shounen,25,2009,winter,1470,pg_13,118,SynergySP,30,Sports,,,,,,,,,,,,,,
21,One Piece,https://api-cdn.myanimelist.net/images/anime/6/73245.jpg,https://api-cdn.myanimelist.net/images/anime/6/73245l.jpg,1999-10-20,8.52,tv,currently_airing,1,Action,2,Adventure,4,Comedy,31,Super Power,0,1999,fall,1440,pg_13,18,Toei Animation,8,Drama,10,Fantasy,27,Shounen,,,,,,,,,,
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://api-cdn.myanimelist.net/images/anime/11/51465.jpg,https://api-cdn.myanimelist.net/images/anime/11/51465l.jpg,2004-01-01,8.54,tv,finished_airing,1,Action,38,Military,24,Sci-Fi,7,Mystery,26,2004,winter,1500,r,10,Production I.G,39,Police,18,Mecha,42,Seinen,,,,,,,,,,
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://api-cdn.myanimelist.net/images/anime/3/79156.jpg,https://api-cdn.myanimelist.net/images/anime/3/79156l.jpg,2016-04-02,8.5,tv,finished_airing,1,Action,2,Adventure,4,Comedy,37,Supernatural,39,2016,spring,1422,r,287,David Production,8,Drama,27,Shounen,,,,,,,,,,,,
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Go),https://api-cdn.myanimelist.net/images/anime/9/56619.jpg,https://api-cdn.myanimelist.net/images/anime/9/56619l.jpg,2009-08-08,8.43,movie,finished_airing,1,Action,7,Mystery,37,Supernatural,22,Romance,1,2009,summer,7283,r,43,ufotable,41,Thriller,,,,,,,,,,,,,,
